,repo_id,repo_name,year,month,pull_request_count,commit_count,issue_count,review_count,message_count,total_contributions,growth_rate
61,25503.0,pandas,2024.0,8.0,199.0,626.0,102.0,0.0,950.0,1877.0,168.0
62,25503.0,pandas,2024.0,9.0,133.0,225.0,71.0,0.0,24.0,453.0,-1424.0
63,25504.0,tinygrad,2024.0,3.0,424.0,1041.0,50.0,235.0,1267.0,3017.0,
64,25504.0,tinygrad,2024.0,4.0,313.0,630.0,26.0,174.0,885.0,2028.0,-989.0
65,25504.0,tinygrad,2024.0,5.0,396.0,992.0,30.0,186.0,846.0,2450.0,422.0
66,25504.0,tinygrad,2024.0,6.0,404.0,784.0,39.0,238.0,1171.0,2636.0,186.0
67,25504.0,tinygrad,2024.0,7.0,584.0,1253.0,24.0,198.0,1204.0,3263.0,627.0
68,25504.0,tinygrad,2024.0,8.0,457.0,963.0,22.0,239.0,1141.0,2822.0,-441.0
69,25504.0,tinygrad,2024.0,9.0,459.0,791.0,25.0,7.0,674.0,1956.0,-866.0
70,25505.0,allennlp,2022.0,3.0,20.0,35.0,9.0,22.0,78.0,164.0,
71,25505.0,allennlp,2022.0,4.0,7.0,16.0,7.0,10.0,32.0,72.0,-92.0
72,25505.0,allennlp,2022.0,5.0,16.0,7.0,3.0,6.0,24.0,56.0,-16.0
73,25505.0,allennlp,2022.0,6.0,17.0,29.0,11.0,7.0,57.0,121.0,65.0
74,25505.0,allennlp,2022.0,7.0,3.0,15.0,8.0,10.0,50.0,86.0,-35.0
75,25505.0,allennlp,2022.0,8.0,3.0,3.0,6.0,2.0,32.0,46.0,-40.0
76,25505.0,allennlp,2022.0,9.0,2.0,1.0,6.0,2.0,41.0,52.0,6.0
77,25506.0,fasttext,2023.0,6.0,5.0,3.0,3.0,1.0,18.0,30.0,
78,25506.0,fasttext,2023.0,7.0,0.0,0.0,2.0,0.0,13.0,15.0,-15.0
79,25506.0,fasttext,2023.0,8.0,0.0,2.0,2.0,0.0,8.0,12.0,-3.0
80,25506.0,fasttext,2023.0,9.0,2.0,0.0,2.0,1.0,12.0,17.0,5.0
81,25506.0,fasttext,2024.0,1.0,0.0,14.0,2.0,0.0,15.0,31.0,14.0
82,25506.0,fasttext,2024.0,2.0,1.0,3.0,6.0,0.0,7.0,17.0,-14.0
83,25506.0,fasttext,2024.0,3.0,2.0,9.0,0.0,0.0,4.0,15.0,-2.0
84,25507.0,deepspeech,2024.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,
85,25507.0,deepspeech,2024.0,4.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0
86,25507.0,deepspeech,2024.0,5.0,0.0,0.0,1.0,0.0,3.0,4.0,2.0
87,25507.0,deepspeech,2024.0,6.0,1.0,0.0,4.0,0.0,6.0,11.0,7.0
88,25507.0,deepspeech,2024.0,7.0,0.0,0.0,1.0,0.0,2.0,3.0,-8.0
89,25507.0,deepspeech,2024.0,8.0,2.0,0.0,2.0,0.0,1.0,5.0,2.0
90,25507.0,deepspeech,2024.0,9.0,1.0,0.0,1.0,0.0,0.0,2.0,-3.0
91,25508.0,opennlp,2024.0,3.0,5.0,46.0,0.0,10.0,7.0,68.0,
92,25508.0,opennlp,2024.0,4.0,8.0,44.0,0.0,25.0,9.0,86.0,18.0
93,25508.0,opennlp,2024.0,5.0,5.0,23.0,0.0,20.0,24.0,72.0,-14.0
94,25508.0,opennlp,2024.0,6.0,22.0,95.0,0.0,61.0,46.0,224.0,152.0
95,25508.0,opennlp,2024.0,7.0,15.0,98.0,0.0,35.0,17.0,165.0,-59.0
96,25508.0,opennlp,2024.0,8.0,6.0,6.0,0.0,9.0,2.0,23.0,-142.0
97,25508.0,opennlp,2024.0,9.0,4.0,14.0,0.0,10.0,3.0,31.0,8.0
98,25509.0,opennmt,2019.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,
99,25509.0,opennmt,2019.0,5.0,1.0,0.0,3.0,0.0,8.0,12.0,11.0
100,25509.0,opennmt,2019.0,7.0,0.0,1.0,2.0,0.0,2.0,5.0,-7.0
101,25509.0,opennmt,2019.0,8.0,0.0,0.0,0.0,0.0,3.0,3.0,-2.0
102,25509.0,opennmt,2019.0,9.0,0.0,0.0,1.0,0.0,1.0,2.0,-1.0
103,25509.0,opennmt,2020.0,2.0,1.0,1.0,0.0,0.0,3.0,5.0,3.0
104,25509.0,opennmt,2020.0,5.0,0.0,0.0,1.0,0.0,1.0,2.0,-3.0
105,25510.0,sentence-transformers,2024.0,3.0,17.0,49.0,29.0,36.0,181.0,312.0,
106,25510.0,sentence-transformers,2024.0,4.0,34.0,176.0,27.0,33.0,218.0,488.0,176.0
107,25510.0,sentence-transformers,2024.0,5.0,36.0,496.0,40.0,20.0,216.0,808.0,320.0
108,25510.0,sentence-transformers,2024.0,6.0,48.0,158.0,48.0,17.0,276.0,547.0,-261.0
109,25510.0,sentence-transformers,2024.0,7.0,21.0,313.0,49.0,23.0,194.0,600.0,53.0
110,25510.0,sentence-transformers,2024.0,8.0,15.0,49.0,37.0,2.0,139.0,242.0,-358.0
111,25510.0,sentence-transformers,2024.0,9.0,12.0,58.0,24.0,0.0,137.0,231.0,-11.0
112,25511.0,transformers,2024.0,3.0,324.0,1971.0,265.0,19.0,2887.0,5466.0,
113,25511.0,transformers,2024.0,4.0,367.0,1371.0,243.0,6.0,2782.0,4769.0,-697.0
114,25511.0,transformers,2024.0,5.0,337.0,3350.0,242.0,4.0,2794.0,6727.0,1958.0
115,25511.0,transformers,2024.0,6.0,301.0,1536.0,230.0,0.0,2227.0,4294.0,-2433.0
116,25511.0,transformers,2024.0,7.0,375.0,1216.0,269.0,1.0,2677.0,4538.0,244.0
117,25511.0,transformers,2024.0,8.0,627.0,969.0,227.0,0.0,2332.0,4155.0,-383.0
118,25511.0,transformers,2024.0,9.0,281.0,1179.0,168.0,0.0,183.0,1811.0,-2344.0
119,25512.0,gensim,2024.0,3.0,2.0,0.0,8.0,0.0,21.0,31.0,
120,25512.0,gensim,2024.0,4.0,4.0,3.0,3.0,10.0,37.0,57.0,26.0
121,25512.0,gensim,2024.0,5.0,2.0,4.0,1.0,0.0,11.0,18.0,-39.0
122,25512.0,gensim,2024.0,6.0,3.0,12.0,4.0,11.0,47.0,77.0,59.0
123,25512.0,gensim,2024.0,7.0,8.0,11.0,8.0,6.0,54.0,87.0,10.0
124,25512.0,gensim,2024.0,8.0,3.0,3.0,0.0,0.0,4.0,10.0,-77.0
125,25512.0,gensim,2024.0,9.0,1.0,0.0,2.0,0.0,7.0,10.0,0.0
126,25513.0,cogcomp-nlp,2021.0,8.0,1.0,1.0,1.0,0.0,0.0,3.0,
