,repo_gits,repo_cntrb_counts
1113,NVIDIA/open-gpu-kernel-modules,3
1112,facebookresearch/faiss,3
2741,albanD/pytorch,3
1929,google/mesop,3
899,conda-forge/ray-packages-feedstock,3
570,opencv/opencv,3
1948,facebookresearch/chameleon,3
1066,pypa/cibuildwheel,3
3274,bazelbuild/bazel,3
1040,HigherOrderCO/Bend,3
1026,PyO3/pyo3,3
956,mlabonne/llm-course,3
1022,pyenv/pyenv,3
3323,apple/ml-4m,3
984,halide/Halide,3
990,mlfoundations/dclm,3
997,karpathy/build-nanogpt,3
1141,airspeed-velocity/asv,3
8531,0xtimmy/tinygrad,3
4295,tinygrad/open-gpu-kernel-modules,3
3192,astral-sh/uv,3
8150,ROCm/HIP,3
601,geopandas/pyogrio,3
3942,NVIDIA/TensorRT,3
1244,conda/infrastructure,3
1243,pytorch/torchx,3
631,pypa/distutils,3
4404,ROCm/ROCm-docker,3
1482,pytorch/torchcodec,3
640,zarr-developers/zarr-python,3
4400,google/grain,3
2247,pytorch/PiPPy,3
661,emscripten-core/emscripten,3
8627,keras-team/keras-nlp,3
677,mpmath/mpmath,3
1189,Qiskit/qiskit,3
747,ipython/ipython,3
4312,google-ai-edge/mediapipe,3
754,Carreau/sphinx_toml,3
1165,scipy/scipy_doctest,3
1875,pytorch/examples,3
1878,deepseek-ai/DeepSeek-V2,3
765,python/typeshed,3
1883,cuda-mode/awesomeMLSys,3
253,scikit-learn-contrib/hdbscan,3
2674,microsoft/pyright,3
183,prefix-dev/pixi,3
1637,OpenBMB/MiniCPM-V,3
2841,facebookincubator/dynolog,3
2835,meta-llama/llama-recipes,3
98,ezyang/torchdbg,3
145,scipy/scipy.org,3
1488,DepthAnything/Depth-Anything-V2,3
1530,NVIDIA/JAX-Toolbox,3
2556,EleutherAI/lm-evaluation-harness,3
176,scientific-python/spatch,3
138,dask/dask,3
1602,facebookresearch/fairscale,3
2560,haotian-liu/LLaVA,3
2531,statsmodels/statsmodels,3
1581,numba/numba,3
1591,ev-br/scipy,2
587,SHTOOLS/SHTOOLS,2
1267,dschult/nx-parallel,2
2580,langfuse/langfuse,2
1268,jkrajniak/nx-parallel,2
3494,VikParuchuri/marker,2
1915,yuzu-mirror/yuzu,2
8289,firebase/flutterfire,2
850,karpathy/nanoGPT,2
8287,googleads/googleads-mobile-unity,2
189,stefanv/numpydoc,2
591,SciTools/cartopy,2
3922,microsoft/Samba,2
190,mdhaber/specs,2
1281,geopandas/geopandas,2
1923,google-deepmind/gemma,2
3510,quantumlib/Qualtran,2
1790,conda-forge-admin/cupy-feedstock,2
1789,conda-forge/r-rcppparallel-feedstock,2
2310,matthew-brett/delocate,2
3493,starship/starship,2
4439,wolfi-dev/os,2
842,chrxh/alien,2
3230,pypa/pip,2
184,executablebooks/mystmd,2
3481,microsoft/winget-pkgs,2
2654,google-deepmind/treescope,2
4423,nWEIdia/pytorch,2
3091,ROCm/tensorflow-upstream,2
833,pytorch/captum,2
2269,conda-forge/admin-requests,2
2607,deepset-ai/haystack,2
8991,DiweiSun/pytorch,2
1912,Quansight/torch-build,2
837,pytorch/rl,2
3726,DAMO-NLP-SG/VideoLLaMA2,2
841,kitao/pyxel,2
605,dask/distributed,2
4434,corsix/amx,2
186,jarrodmillman/scientific-python-lectures,2
187,jarrodmillman/yaml2ics,2
3408,google/shaderc,2
1811,EnzymeAD/Enzyme,2
598,conda-forge/matplotlib-feedstock,2
1258,networkx/archive,2
596,jupyter/nbconvert,2
1787,conda/conda-build,2
1259,rossbar/networkx,2
1589,jerryzh168/ao,2
624,zarr-developers/numcodecs,2
860,openai/baselines,2
2103,HaoZeke/openblas_buildsys_snips,2
883,MichaelTMatthews/Craftax,2
3881,dart-lang/sdk,2
2549,lucidrains/lumiere-pytorch,2
1755,regro/cf-scripts,2
1754,isuruf/docker-images,2
3432,chuanqi129/inductor-tools,2
1751,conda-forge/ucx-split-feedstock,2
1938,SkyworkAI/Vitron,2
1335,webrtc/samples,2
1939,adam-maj/tiny-gpu,2
1940,keras-team/keras-cv,2
196,scientific-python/scientific-python-archive,2
501,Scientific-Python-Translations/scientific-python-translations.github.io,2
500,mattip/scipy,2
498,jimkring/free-threaded-compatibility,2
497,agriyakhetarpal/numpy,2
2359,conda-forge/cuda-nvcc-feedstock,2
495,dschult/scipy,2
892,kubernetes/kubernetes,2
1342,triton-inference-server/server,2
1585,eriknw/cugraph,2
4522,huggingface/peft,2
4080,aws/aws-cdk,2
2365,conda-forge/openmpi-feedstock,2
1741,conda-forge/cusparselt-feedstock,2
3015,xuhancn/pytorch,2
1324,WordPress/wordpress-develop,2
519,lucidrains/autoregressive-diffusion-pytorch,2
2828,prestodb/presto,2
2102,HaoZeke/OpenBLAS,2
7310,grpc/grpc,2
999,apple/axlearn,2
8126,microsoft/terminal,2
1302,duckdb/duckdb,2
1303,microsoft/vcpkg,2
1524,facebook/zstd,2
1091,iree-org/iree-jax,2
540,jarrodmillman/networkx,2
2589,meta-llama/llama,2
1769,rapidsai/pynvjitlink,2
1087,openxla/community,2
1758,rdkit/rdkit,2
1612,meta-llama/llama-toolchain,2
7612,tensorflow/tfx,2
2091,bashtage/randomgen,2
1764,conda-forge/conda-forge-ci-setup-feedstock,2
13,open-telemetry/opentelemetry-dotnet-contrib,2
2335,conda-forge/conda-forge-repodata-patches-feedstock,2
1316,lysnikolaou/arrow,2
526,lucidrains/transfusion-pytorch,2
1763,conda-forge/llvmdev-feedstock,2
1760,conda-forge/anaconda-client-feedstock,2
1759,conda-forge/mlir-python-bindings-feedstock,2
554,scientific-python/tools.scientific-python.org,2
830,Farama-Foundation/PettingZoo,2
1527,bazelbuild/bazelisk,2
713,tensorflow/examples,2
3998,sickcodes/Docker-OSX,2
3158,vllm-project/buildkite-ci,2
1183,tailwindlabs/tailwindcss,2
725,pymc-devs/pymc,2
1867,MCW-Dev/tensorflow,2
8222,tensorflow/datasets,2
720,tensorflow/build,2
1864,tensorflow/tflite-micro,2
2747,google-research/t5x,2
1861,aio-libs/aiohttp,2
2198,yt-dlp/yt-dlp,2
94,ezyang/tlparse,2
8225,google/earthengine-catalog,2
1860,psf/black,2
3203,horovod/horovod,2
2203,pytorch/cppdocs,2
4348,ultralytics/assets,2
793,google/benchmark,2
8259,google/generative-ai-docs,2
3455,rust-lang/rust,2
1897,linkedin/Liger-Kernel,2
3419,Lightning-AI/litgpt,2
2214,darktable-org/darktable,2
694,google/oss-fuzz,2
729,tensorflow/data-validation,2
1180,JuliaLang/julia,2
3951,brain-score/vision,2
3176,rasbt/LLMs-from-scratch,2
153,stefanv/specs,2
764,ryanking13/cors,2
1882,mesozoic-egg/tinygrad-notes,2
8245,google/error-prone,2
8238,google-research/android_world,2
1884,manishucsd/py-codegen,2
757,numpy/numpy-tutorials,2
1166,python-cffi/cffi,2
2567,streamlit/streamlit,2
774,pypi/warehouse,2
2565,microsoft/graphrag,2
3175,huggingface/optimum,2
8227,firebase/firebase-android-sdk,2
749,pyodide/micropip,2
162,napari/napari,2
4317,google-research/perch,2
4006,ROCm/MIOpen,2
4293,tinygrad/tinyos,2
4003,facebookresearch/sapiens,2
740,Carreau/networkx,2
779,conda-forge/jupyterlite-sphinx-feedstock,2
738,ArthurSonzogni/FTXUI,2
1149,scientific-python/upload-nightly-action,2
4020,bghira/SimpleTuner,2
802,wjakob/nanobind,2
7350,kubernetes-client/java,2
2219,HazyResearch/ThunderKittens,2
1117,istio/istio.io,2
8632,taichi-dev/taichi,2
3109,google/praxis,2
2246,Zhen-Dong/Awesome-Quantization-Papers,2
1907,wangsiping97/FastGEMV,2
4396,zejun-chen/kineto,2
646,actions/runner-images,2
1908,microsoft/MInference,2
2821,facebookincubator/momentum,2
8644,pydelhi/talks,2
2614,microsoft/TaskWeaver,2
1235,ROCm/hipBLASLt,2
1116,istio/istio,2
8199,angular/angular,2
179,stefanv/scientific-python-hugo-theme,2
4405,ROCm/builder,2
4406,ROCm/vision,2
1237,dmlc/dgl,2
4409,ROCm/apex,2
4410,pragupta/pytorch,2
4412,ROCm/aotriton,2
